Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
99	30.0	10.0	40.0	20.0	723.5	2.773703	4.7683716e-07	2.7737026	2.7737026	400000	0.05328673	15.28533	0.0	-0.045220137	2.8822796	0.74827456	0.5305	0.0	1089.4124717712402
100	7.5	8.291562	20.0	0.0	733.25	2.9850044	0.0	2.9850044	2.9850044	404000	0.06797548	9.279032	0.0	-3.2154255	2.8823447	1.0248165	0.72775	0.0	1099.9605519771576
101	10.0	12.247449	30.0	0.0	921.0	1.1889068	1.1920929e-07	1.1889067	1.1889067	408000	0.06240793	6.7950068	0.0	-0.0034348965	2.882382	1.0196553	0.721	0.0	1110.8419079780579
102	5.0	8.6602545	20.0	0.0	893.75	1.1300039	1.1920929e-07	1.1300038	1.1300038	412000	0.029890642	2.7223787	0.0	-0.28587154	2.8825018	1.3179934	0.92649996	0.0	1121.2793397903442
103	12.5	8.291562	20.0	0.0	853.25	0.5977078	0.0	0.5977078	0.5977078	416000	0.071951255	9.244126	0.0	-1.1130466	2.8823714	1.0477052	0.7405	0.0	1131.9726347923279
104	20.0	14.142136	40.0	0.0	790.4	1.6481818	3.5762787e-07	1.6481814	1.6481814	420000	0.052149296	11.048325	0.0	-0.6337602	2.8822002	0.82102966	0.5835	0.0	1142.1842830181122
105	17.5	8.291562	30.0	10.0	690.25	2.4401119	0.0	2.4401119	2.4401119	424000	0.08421944	11.475378	0.0	-0.27105165	2.882294	0.7889938	0.5605	0.0	1152.8695418834686
106	15.0	16.583124	40.0	0.0	897.0	1.923771	1.1920929e-07	1.9237709	1.9237709	428000	0.036447037	13.457237	0.0	-0.020200491	2.882387	1.0820494	0.76625	0.0	1163.3697490692139
107	17.5	4.3301272	20.0	10.0	548.0	2.0642724	2.3841858e-07	2.0642726	2.0642726	432000	0.10539128	8.469194	0.0	-0.029442787	2.8822207	0.67867756	0.48125	0.0	1174.260939836502
108	15.0	11.18034	30.0	0.0	871.5	2.233539	4.7683716e-07	2.2335386	2.2335386	436000	0.07278839	16.776447	0.0	-0.069906	2.8823323	1.0303252	0.732	0.0	1184.8910400867462
109	30.0	7.071068	40.0	20.0	853.5	2.4939957	0.0	2.4939957	2.4939957	440000	0.039620876	20.440063	0.0	-1.3861762	2.8822484	0.756693	0.538	0.0	1195.602766752243
110	7.5	8.291562	20.0	0.0	1000.0	3.6550677	4.7683716e-07	3.6550682	3.6550682	444000	0.058984585	10.984805	0.0	-6.472444	2.882475	1.2452035	0.888	0.0	1206.5218210220337
111	14.0	10.198039	30.0	0.0	649.4	1.1006563	2.3841858e-07	1.100656	1.100656	448000	0.079609856	10.5255165	0.0	-0.40652025	2.8822951	0.8134831	0.57799995	0.0	1217.15655875206
112	30.0	12.247449	40.0	10.0	640.0	1.7401487	3.5762787e-07	1.740149	1.740149	452000	0.050323885	21.524685	0.0	-2.2455938	2.8820827	0.5985835	0.425	0.0	1227.6678349971771
113	10.0	7.071068	20.0	0.0	920.5	3.2496846	4.7683716e-07	3.249685	3.249685	456000	0.08316597	9.131557	0.0	-3.7840505	2.8824105	1.1685369	0.824	0.0	1238.2486369609833
114	27.5	16.393597	40.0	0.0	826.0	1.2796013	0.0	1.2796013	1.2796013	460000	0.049837433	21.237894	0.0	-3.3208787	2.8822937	0.83550173	0.59424996	0.0	1248.6924948692322
115	17.5	14.790199	40.0	0.0	676.75	3.1294508	2.3841858e-07	3.1294506	3.1294506	464000	0.06991894	11.288002	0.0	-1.2803168	2.8822913	0.8697826	0.617	0.0	1259.4829518795013
116	22.5	14.790199	40.0	0.0	730.75	1.980766	2.3841858e-07	1.9807658	1.9807658	468000	0.054181762	15.589937	0.0	-0.86332715	2.8821898	0.7660378	0.5435	0.0	1270.1977949142456
117	17.5	8.291562	30.0	10.0	842.0	2.9236078	2.3841858e-07	2.923608	2.923608	472000	0.077824116	8.030442	0.0	-0.60361755	2.882259	0.81886405	0.5815	0.0	1281.396003961563
118	5.0	8.6602545	20.0	0.0	1000.0	2.135977	4.7683716e-07	2.1359775	2.1359775	476000	0.031252537	4.449853	0.0	-2.034188	2.8824859	1.2300754	0.87224996	0.0	1292.5332119464874
119	5.0	8.6602545	20.0	0.0	907.75	0.6888187	1.7881393e-07	0.6888185	0.6888185	480000	0.03026339	2.6833074	0.0	-0.029614806	2.8825028	1.2592134	0.88575	0.0	1303.4032118320465
120	17.5	8.291562	30.0	10.0	913.5	0.5143033	1.1920929e-07	0.51430345	0.51430345	484000	0.07574253	11.265026	0.0	-1.5706881	2.882364	1.0031307	0.71025	0.0	1314.3232929706573
121	22.5	10.897247	40.0	10.0	725.0	1.7814655	3.5762787e-07	1.7814659	1.7814659	488000	0.08230642	13.24449	0.0	-1.1163424	2.8821547	0.6500411	0.46025	0.0	1325.1409747600555
122	5.0	5.0	10.0	0.0	840.5	2.8517864	0.0	2.8517864	2.8517864	492000	0.09361529	7.124172	0.0	-5.185435	2.8823457	1.0224442	0.727	0.0	1336.121393918991
